This data refers to the following publication:
Mata, J., Lyne, R., Burns, G. and Bähler, J. (2002). The transcriptional program of meiosis and sporulation in fission yeast. Nature Genet. 32:143-147

pat1 meiosis														
Average of four independent experiment														
Data are given as the ratio between expression level at the time shown and expression level in vegetative cells														
time (hours)			vegetative	0	1	2	3	4	5	6	7	8	10	12
Primer name	Common name	Systematic name												
aap1	AAP1	SPBC1652.02 SPBC16A3.20C	1	22.703531	0.96035963	0.54446	0.8962315	1.1602513	1.2521433	2.309153	2.3107502	2.4493268	2.7068365	3.064384
abc1: C2D10.18	ABC1	SPBC2D10.18	1	1.0434905	0.6222828	0.6631913	0.61940897	0.6484031	0.6622362	0.65595305	0.58076054	0.6062054	0.752322	0.7982639
abc1: C9E9.12c	ABC1	SPAC9E9.12C	1	2.1125464	0.90682197	0.5657456	0.5352204	1.2243978	10.170195	7.3800225	4.4551682	2.8045874	1.6574706	1.3106302
abp1	CBP1 ABP1	SPBC1105.04C	1	1.3512771	0.88498545	0.7053974	0.4010547	0.20286174	0.17536005	0.8299201	0.95974874	1.1210362	1.1229486	1.1034346
abp2	ABP2	SPBC1861.02	1	0.8163009	1.9697877	1.7361164	1.0571023	0.494822	0.37222597	0.53343797	0.851486	0.9897023	1.1156647	1.1596308
act1: cps8: pi012	ACT1 CPS8 PI012	SPBC32H8.12C	1	0.6218463	0.32569733	0.39038798	0.41904795	0.43503946	0.5396006	0.4038981	0.33707196	0.28185105	0.2651217	0.2819735
act2	ACT2	SPAC630.03	1	0.94557476	0.5761059	0.69891584	0.638058	0.42313015	0.35295883	0.7461924	0.82918984	0.84378564	0.88920116	0.8423934
ada1	ADA1	SPBC106.04	1	0.87175107	0.86987555	1.0233612	0.72794545	0.2614863	0.14391954	0.43744254	0.80562836	0.9845341	0.97469866	1.0192195
ade1: min4	ADE1 MIN4	SPBC405.01 SPBC4C3.02C	1	0.56103396	0.50154805	0.3327948	0.2075822	0.13672313	0.09726115	0.27554965	0.31037554	0.3734727	0.42661574	0.5309853
ade10	ADE10	SPCPB16A4.03C	1	0.35721287	0.2821446	0.16508889	0.07229224	0.047510743	0.05269309	0.24369164	0.2073655	0.2536688	0.4000297	0.5915704
ade2: min10	ADE2 MIN10	SPAC144.03	1	0.5977842	0.5524356	0.4239643	0.33349437	0.28726476	0.1768623	0.2303126	0.22347581	0.2611217	0.27701384	0.33100274
ade3: min11	ADE3 MIN11	SPAC6F12.10C	1	0.50236154	0.7020937	0.57536083	0.39060163	0.33190268	0.54020405	0.4997677	0.3905541	0.42537946	0.5215485	0.6527548
ade4: min13	ADE4 MIN13	SPAC4D7.08C	1	0.53458107	0.8784222	0.60735714	0.38605982	0.19850965	0.11063073	0.32216156	0.3912213	0.4153903	0.48206413	0.65693045
ade5: ade8	ADE5 ADE8	SPCC569.08C	1	0.62443584	0.71447486	0.6139613	0.53390944	0.43736535	0.27419388	0.53596467	0.6015303	0.59159356	0.591442	0.6265694
ade6: min1	ADE6 MIN1	SPCC1322.13	1	0.65924966	0.81162703	0.5630086	0.3546362	0.32728407	1.3343341	1.0959585	0.9681619	0.89510685	0.7995288	0.934773
ade8	ADE8	SPBC14F5.09C	1	0.5932789	0.31015497	0.24816684	0.19254951	0.17507617	0.16677685	0.8702423	0.96409565	0.8639725	0.9124382	1.0080721
ade9	ADE9	SPBC2G2.08	1	0.7428756	1.5435014	0.91079825	0.9630089	1.1303442	1.269751	0.69962394	0.5581925	0.56009823	0.5148716	0.60805774
adh1: adh	ADH1 ADH	SPCC13B11.01	1	0.69814736	0.20733352	0.3881046	0.54773873	0.8180479	0.71219647	0.40844765	0.30175462	0.19653137	0.18048441	0.31730193
adk1	ADK1	SPAC4G9.03	1	0.6696385	0.4740162	0.33514017	0.30155337	0.3486875	0.39970914	0.18842146	0.16828835	0.15363836	0.14416102	0.16675137
agl	AGL	SPAPB24D3.10C	1	7.3892217	1.0426326	1.3966289	1.1997234	1.5103958	2.617524	7.1261387	4.344225	3.9326203	3.9670024	3.4284372
ags1: mok1	AGS1 MOK1	SPCC1281.01 SPCC17A7.01 SPCC338.01C	1	1.2485161	0.6716726	0.5237446	0.43585345	0.47617683	0.73709524	0.3462219	0.34529817	0.37231284	0.3701672	0.39013863
ain1	AIN1	SPAC15A10.08	1	1.1039175	0.9679911	1.4607062	1.4328715	1.0730189	1.3989352	0.45960402	0.5657348	0.62434113	0.539205	0.5270448
alg11: gmd3	ALG11 GMD3	SPCC330.08	1	1.5226424	1.3851964	1.521115	1.5950806	1.3723563	0.92230916	3.4263036	2.6228182	2.5820026	2.3142104	1.9266776
alm1	ALM1	SPAC1486.04C	1	0.75048524	1.0091836	1.1171921	0.98484975	0.73059785	1.010796	0.9823367	0.7336132	0.7674946	0.85241604	0.88293916
alp1	ALP1	SPBC11C11.04C	1	1.0397654	1.4828004	1.4504544	1.1987745	0.8790866	2.2820241	2.7503126	2.9631784	3.3893783	3.6863663	3.5106952
alp11	ALP11	SPAC13D6.05 SPAC4G9.01	1	0.93806744	0.74171525	0.9134724	1.1754115	1.2260947	1.1401473	1.3836294	1.0995017	1.1250516	1.220127	1.2489456
alp13	ALP13	SPAC23H4.12	1	0.65182096	0.71192014	0.8258826	0.9270925	0.7036814	0.33800024	0.51730883	0.6762023	0.70729905	0.71859014	0.6913765
alp14	ALP14	SPCC895.07	1	0.9006805	0.8343772	0.8514372	1.2196351	1.8447115	2.7414494	0.89130425	0.85285705	0.80781853	0.7352376	0.70657444
alp16	ALP16	SPCC4G3.19	1	1.3199548	1.0869395	1.1811713	1.4859469	1.9262304	3.9478855	2.8691769	2.0996356	1.6653696	1.2617172	1.1278651
alp21: sto1	ALP21 STO1	SPAC22H10.10	1	1.6539357	1.2871641	1.0427574	0.9793166	1.0767342	1.3193442	1.2070608	1.306093	1.1098688	1.0363276	1.0214729
alp31	ALP31	SPAC8E11.07C	1	0.49909616	2.2901738	2.2740958	1.477878	0.45935303	0.34422907	0.41363603	0.49596682	0.3984528	0.3651626	0.3549056
alp4	ALP4	SPBC365.15	1	1.2319691	1.0433445	1.3622819	1.4713516	1.8737109	6.8769407	6.9501524	4.518284	3.0397396	2.0920825	1.770244
alp41	ALP41	SPAC22F3.05C	1	0.9741082	1.0176022	0.9333705	1.5190732	2.4039836	4.685001	1.8649099	2.061151	1.9255759	1.7996106	1.6683729
alp6	ALP6	SPBC428.20C SPBC902.01C	1	1.0142976	1.6926323	2.413139	2.261029	0.6929573	0.21695344	0.40658313	0.6217194	0.6542862	0.6206992	0.68038434
alp7	ALP7	SPAC890.02C	1	1.0846279	0.7028067	0.85069114	1.1545769	1.8426869	2.520702	0.72611976	0.81448996	0.72392434	0.73051316	0.7051804
anc1	ANC1	SPBC530.10C	1	1.4565628	0.84678817	1.3374642	1.2587283	1.0665247	0.40143964	0.22753239	0.24510191	0.26237264	0.2159109	0.23933735
apc1: apc10	APC1 APC10	SPBC1A4.01 SPBC1E8.06	1	1.4194092	1.3273839	3.393466	3.8748777	5.302656	14.216879	3.4734676	2.7621648	2.4945376	2.111061	1.9495021
apc5	APC5	SPAC959.09C SPAP32A8.01C	1	1.3318568	1.0018784	1.54518	2.8053176	5.782659	16.320696	3.0703495	2.4448476	1.9358115	1.1582844	0.9350451
ape1	APE1	SPBC1921.05	1	1.1224072	0.42159307	0.68088055	1.2386194	2.2364018	4.338738	2.3968878	1.5269037	1.5485128	1.5287025	1.4338268
apg9	APG9	SPBC15D4.07C	1	2.1877036	1.4320434	2.0369968	2.998174	3.1302521	3.389226	2.3045661	1.9385997	1.8465699	1.8834593	1.8830737
aph1	APH1	SPCC4G3.02	1	0.790236	0.60680777	0.6001198	0.6069518	0.6972669	0.8789896	0.42314145	0.6156488	0.56857514	0.512066	0.53598493
apl1	APL1	SPBC2G2.06C	1	1.2167933	1.4174533	1.4642129	1.5415114	1.2902255	2.0872512	1.037537	0.87756443	0.84073734	0.77718765	0.8379939
apl2	APL2	SPBC947.02	1	0.7369771	0.76493317	1.0398524	1.4464357	1.8576999	2.786498	1.1509447	0.86177605	0.85207504	0.78717726	0.763067
apl3: pi033	APL3 PI033	SPBC691.03C	1	1.0037258	1.9764771	2.2174666	2.526257	1.1388924	0.5586144	0.65788573	0.8419634	0.8971487	0.8716898	0.8758484
